Reviews,Labels
"Pros Effectively removes impurities from water, providing clean and safe drinking water.Multi-stage filtration system ensures thorough water purification.Sleek and compact design fits well in various kitchen spaces.Easy installation and maintenance.Taste enhancer improves the taste of purified water.
Cons Filters need to be replaced frequently, which can add to the overall cost.Flow rate can be a bit slow at times.
Overall The Livpure GLO PRO++ RO+UV+UF+Taste Enhancer is a good water purifier that provides clean and safe drinking water. However, the frequent replacement of filters can be a drawback. If you are looking for a water purifier that offers effective filtration and a sleek design, the Livpure GLO PRO++ RO+UV+UF+Taste Enhancer is a good option to consider. However, be prepared for the additional cost of frequent filter replacements.",1
Nice product. Feels like drinking fresh water after long time,1
"Purchased Glo Pro ++ purifier. Delivery is fast with Amazon prime in a day. After a week usage, giving review.Product is looking cute & small with 7L capacity. It will take 30 minutes to full tank. Tap water coming fast and clean.
Cons: Need to purchase external filter separately for 1200 rupees including service charges. Observed a small crack on the outer dom even though packing was good. Got to know from technician that every year this needs maintenance around4000 rupees.Overall happy to purchase the LivPure.",1
Good product for a small family but the installation experience is pathetic,1
"Water quality is good after filtering and TDS is also lower than 50. But this product has quality control issues, the material is of very cheap quality. Service costs a minimum of 500 rupees.Filtration capacity is also on the lower side.",0
Installation was smooth. Water does not taste that good,0
Superb product in 10k price range.thank you,1
"After buying the product, sales rep will say main extranal filter is not added in the price. So water purifier will damage faster if don't buy extranal water filter. This is the way Livpure cheating us.",0
Pre filter not available with pack. They didn't think pre filter as a part of filtration process.,0
"But water tap in annoying, didn't like it.",0
